"Ruta","Pop","X","Y","KNKOD","KNNAMN"
44170003929000,13,304583,6484429,1430,"Munkedal"
47870004125000,5,687288,6654199,380,"Uppsala"
46970004035000,22,591101,6570420,484,"Eskilstuna"
45790003617000,6,443329,6161461,1270,"Tomelilla"
47650004607000,8,701205,7138196,2404,"Vindeln"
44870003897000,20,371924,6447405,1445,"Essunga"
45650003976000,8,455381,6520731,1473,"Treboda"
45030003745000,151,376780,6294521,1380,"Halmstad"
45780003696000,28,447984,6240338,1256,"stra Ginge"
45220003889000,4,406189,6436914,1499,"Falkping"
46600003697000,3,529780,6235621,1080,"Karlskrona"
45810004414000,16,504022,6957523,2305,"Brcke"
46040004221000,76,512337,6762787,2031,"Rttvik"
